frame_0	frame_1
crops/pi_b/20200811/121030	crops/pi_b/20200811/121034
crops/pi_b/20200802/094418	crops/pi_b/20200802/094429
crops/pi_a/20200802/104537	crops/pi_a/20200802/104526
crops/pi_c/20200801/092340	crops/pi_c/20200801/092350
crops/pi_a/20200802/104316	crops/pi_a/20200802/104305
crops/pi_b/20200811/083019	crops/pi_b/20200811/083024
crops/pi_b/20200807/080236	crops/pi_b/20200807/080231
crops/pi_a/20200802/100237	crops/pi_a/20200802/100248
crops/pi_c/20180927/163608	crops/pi_c/20180927/163619
crops/pi_b/20200807/114853	crops/pi_b/20200807/114857
crops/pi_b/20200802/095512	crops/pi_b/20200802/095501
crops/pi_a/20200802/101914	crops/pi_a/20200802/101903
crops/pi_a/20200802/104758	crops/pi_a/20200802/104747
crops/pi_b/20200807/112859	crops/pi_b/20200807/112855
crops/pi_b/20200807/082530	crops/pi_b/20200807/082526
crops/pi_a/20200802/091038	crops/pi_a/20200802/091049
crops/pi_b/20200811/123216	crops/pi_b/20200811/123220
crops/pi_b/20200807/090342	crops/pi_b/20200807/090348
crops/pi_b/20200811/075019	crops/pi_b/20200811/075025
crops/pi_b/20200807/082803	crops/pi_b/20200807/082807
